SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_ANNUITY,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_2,EXT_SOURCE_3,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR,SK_ID_PREV,AMT_APPLICATION,CNT_PAYMENT,AMT_CREDIT,AMT_GOODS_PRICE
100002,1,Cash loans,M,0,202500,24700.5,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.018801,-9461,-637,-3648,-2120,Laborers,1,2,2,WEDNESDAY,10,0,0,0,0,0,0,Business Entity Type 3,0.262948593,0.13937578,2,2,2,2,-1134,0,0,0,0,0,1,1038818,179055,24,292826.25,265027.5
100003,0,Cash loans,F,0,270000,35698.5,Family,State servant,Higher education,Married,House / apartment,0.003541,-16765,-1188,-1186,-291,Core staff,2,1,1,MONDAY,11,0,0,0,0,0,0,School,0.622245775,0.510852906,1,0,1,0,-828,0,0,0,0,0,0,1810518,900000,12,1164692.25,1014750
100003,0,Cash loans,F,0,270000,35698.5,Family,State servant,Higher education,Married,House / apartment,0.003541,-16765,-1188,-1186,-291,Core staff,2,1,1,MONDAY,11,0,0,0,0,0,0,School,0.622245775,0.510852906,1,0,1,0,-828,0,0,0,0,0,0,2636178,337500,6,821070,733500
100004,0,Revolving loans,M,0,67500,6750,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.010032,-19046,-225,-4260,-2531,Laborers,1,2,2,MONDAY,9,0,0,0,0,0,0,Government,0.555912083,0.729566691,0,0,0,0,-815,0,0,0,0,0,0,1564014,24282,4,77553,79641
100006,0,Cash loans,F,0,135000,29686.5,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.008019,-19005,-3039,-9833,-2437,Laborers,2,2,2,WEDNESDAY,17,0,0,0,0,0,0,Business Entity Type 3,0.65044169,0.510852906,2,0,2,0,-617,0,0,0,0,0,0,2078043,675000,48,493841.25,486000
100006,0,Cash loans,F,0,135000,29686.5,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.008019,-19005,-3039,-9833,-2437,Laborers,2,2,2,WEDNESDAY,17,0,0,0,0,0,0,Business Entity Type 3,0.65044169,0.510852906,2,0,2,0,-617,0,0,0,0,0,0,2827850,0,15.99563863,156341.25,261644.6125
100006,0,Cash loans,F,0,135000,29686.5,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.008019,-19005,-3039,-9833,-2437,Laborers,2,2,2,WEDNESDAY,17,0,0,0,0,0,0,Business Entity Type 3,0.65044169,0.510852906,2,0,2,0,-617,0,0,0,0,0,0,2190416,334917,12,290306.25,315958.5
100006,0,Cash loans,F,0,135000,29686.5,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.008019,-19005,-3039,-9833,-2437,Laborers,2,2,2,WEDNESDAY,17,0,0,0,0,0,0,Business Entity Type 3,0.65044169,0.510852906,2,0,2,0,-617,0,0,0,0,0,0,1489396,270000,0,291341.25,283500
100007,0,Cash loans,M,0,121500,21865.5,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.028663,-19932,-3038,-4311,-3458,Core staff,1,2,2,THURSDAY,11,0,0,0,0,1,1,Religion,0.322738287,0.510852906,0,0,0,0,-1106,0,0,0,0,0,0,2001242,180000,18,346500,346500
100007,0,Cash loans,M,0,121500,21865.5,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.028663,-19932,-3038,-4311,-3458,Core staff,1,2,2,THURSDAY,11,0,0,0,0,1,1,Religion,0.322738287,0.510852906,0,0,0,0,-1106,0,0,0,0,0,0,2730157,225000,48,398700,369000
100007,0,Cash loans,M,0,121500,21865.5,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.028663,-19932,-3038,-4311,-3458,Core staff,1,2,2,THURSDAY,11,0,0,0,0,1,1,Religion,0.322738287,0.510852906,0,0,0,0,-1106,0,0,0,0,0,0,1692033,247500,24,393644.25,380250
100008,0,Cash loans,M,0,99000,27517.5,"Spouse, partner",State servant,Secondary / secondary special,Married,House / apartment,0.035792,-16941,-1588,-4970,-477,Laborers,2,2,2,WEDNESDAY,16,0,0,0,0,0,0,Other,0.354224732,0.621226338,0,0,0,0,-2536,0,0,0,0,1,1,2218188,162598.5,10,326547,308549.25
100008,0,Cash loans,M,0,99000,27517.5,"Spouse, partner",State servant,Secondary / secondary special,Married,House / apartment,0.035792,-16941,-1588,-4970,-477,Laborers,2,2,2,WEDNESDAY,16,0,0,0,0,0,0,Other,0.354224732,0.621226338,0,0,0,0,-2536,0,0,0,0,1,1,1757431,0,15.99563863,245247.75,340394.6125
100008,0,Cash loans,M,0,99000,27517.5,"Spouse, partner",State servant,Secondary / secondary special,Married,House / apartment,0.035792,-16941,-1588,-4970,-477,Laborers,2,2,2,WEDNESDAY,16,0,0,0,0,0,0,Other,0.354224732,0.621226338,0,0,0,0,-2536,0,0,0,0,1,1,1186888,44455.5,6,265225.5,249477.75
100008,0,Cash loans,M,0,99000,27517.5,"Spouse, partner",State servant,Secondary / secondary special,Married,House / apartment,0.035792,-16941,-1588,-4970,-477,Laborers,2,2,2,WEDNESDAY,16,0,0,0,0,0,0,Other,0.354224732,0.621226338,0,0,0,0,-2536,0,0,0,0,1,1,2613879,450000,30,496235.25,452250
100008,0,Cash loans,M,0,99000,27517.5,"Spouse, partner",State servant,Secondary / secondary special,Married,House / apartment,0.035792,-16941,-1588,-4970,-477,Laborers,2,2,2,WEDNESDAY,16,0,0,0,0,0,0,Other,0.354224732,0.621226338,0,0,0,0,-2536,0,0,0,0,1,1,1907290,121455,10,299902.5,287977.5
100009,0,Cash loans,F,1,171000,41301,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.035792,-13778,-3130,-1213,-619,Accountants,3,2,2,SUNDAY,16,0,0,0,0,0,0,Business Entity Type 3,0.723999852,0.492060094,1,0,1,0,-1562,0,0,0,1,1,2,1413109,98239.5,12,829482.75,746619.75
100009,0,Cash loans,F,1,171000,41301,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.035792,-13778,-3130,-1213,-619,Accountants,3,2,2,SUNDAY,16,0,0,0,0,0,0,Business Entity Type 3,0.723999852,0.492060094,1,0,1,0,-1562,0,0,0,1,1,2,2227125,46876.5,6,802710,720938.25
100009,0,Cash loans,F,1,171000,41301,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.035792,-13778,-3130,-1213,-619,Accountants,3,2,2,SUNDAY,16,0,0,0,0,0,0,Business Entity Type 3,0.723999852,0.492060094,1,0,1,0,-1562,0,0,0,1,1,2,2421381,47160,6,800223.75,721080
100011,0,Cash loans,F,0,112500,33826.5,Children,Pensioner,Secondary / secondary special,Married,House / apartment,0.018634,-20099,365243,-7427,-3514,Unknown,2,2,2,WEDNESDAY,14,0,0,0,0,0,0,XNA,0.205747288,0.751723715,1,0,1,0,0,0,0,0,0,0,1,2668005,0,15.99563863,509805,456750
